timestamp,user,src_host,dst_host,result,src_ip
1,U1,C1,DST-HOST,SUCCESS,C1
1,U1,C2,DST-HOST,SUCCESS,C2
2,U2,C3,DST-HOST,SUCCESS,C3
3,U3,C4,DST-HOST,SUCCESS,C4
6,U4,C5,DST-HOST,SUCCESS,C5
7,U4,C5,DST-HOST,SUCCESS,C5
7,U5,C6,DST-HOST,SUCCESS,C6
8,U6,C7,DST-HOST,SUCCESS,C7
11,U7,C8,DST-HOST,SUCCESS,C8
12,U8,C9,DST-HOST,SUCCESS,C9
12,U9,C10,DST-HOST,SUCCESS,C10
13,U10,C11,DST-HOST,SUCCESS,C11
13,U11,C12,DST-HOST,SUCCESS,C12
13,U12,C13,DST-HOST,SUCCESS,C13
14,U13,C14,DST-HOST,SUCCESS,C14
15,U14,C15,DST-HOST,SUCCESS,C15
16,U15,C16,DST-HOST,SUCCESS,C16
18,U16,C17,DST-HOST,SUCCESS,C17
20,U17,C18,DST-HOST,SUCCESS,C18
21,U18,C19,DST-HOST,SUCCESS,C19
21,U19,C20,DST-HOST,SUCCESS,C20
21,U20,C21,DST-HOST,SUCCESS,C21
22,U18,C19,DST-HOST,SUCCESS,C19
22,U21,C22,DST-HOST,SUCCESS,C22
22,U22,C23,DST-HOST,SUCCESS,C23
22,U23,C24,DST-HOST,SUCCESS,C24
23,U24,C25,DST-HOST,SUCCESS,C25
23,U25,C26,DST-HOST,SUCCESS,C26
24,U26,C27,DST-HOST,SUCCESS,C27
24,U27,C28,DST-HOST,SUCCESS,C28
24,U28,C29,DST-HOST,SUCCESS,C29
24,U29,C30,DST-HOST,SUCCESS,C30
25,U26,C27,DST-HOST,SUCCESS,C27
25,U30,C31,DST-HOST,SUCCESS,C31
25,U28,C29,DST-HOST,SUCCESS,C29
26,U29,C30,DST-HOST,SUCCESS,C30
26,U13,C32,DST-HOST,SUCCESS,C32
27,U31,C33,DST-HOST,SUCCESS,C33
27,U32,C34,DST-HOST,SUCCESS,C34
28,U33,C35,DST-HOST,SUCCESS,C35
28,U34,C36,DST-HOST,SUCCESS,C36
28,U35,C37,DST-HOST,SUCCESS,C37
29,U34,C36,DST-HOST,SUCCESS,C36
29,U35,C37,DST-HOST,SUCCESS,C37
29,U36,C38,DST-HOST,SUCCESS,C38
30,U37,C39,DST-HOST,SUCCESS,C39
30,U38,C40,DST-HOST,SUCCESS,C40
30,U23,C24,DST-HOST,SUCCESS,C24
30,U39,C41,DST-HOST,SUCCESS,C41
30,U13,C42,DST-HOST,SUCCESS,C42
31,U40,C43,DST-HOST,SUCCESS,C43
31,U41,C44,DST-HOST,SUCCESS,C44
31,U42,C45,DST-HOST,SUCCESS,C45
31,U43,C46,DST-HOST,SUCCESS,C46
31,U38,C40,DST-HOST,SUCCESS,C40
31,U44,C47,DST-HOST,SUCCESS,C47
33,U45,C48,DST-HOST,SUCCESS,C48
33,U46,C49,DST-HOST,SUCCESS,C49
34,U47,C50,DST-HOST,SUCCESS,C50
34,U48,C51,DST-HOST,SUCCESS,C51
35,U47,C50,DST-HOST,SUCCESS,C50
35,U49,C52,DST-HOST,SUCCESS,C52
35,U12,C53,DST-HOST,SUCCESS,C53
35,U12,C54,DST-HOST,SUCCESS,C54
36,U50,C55,DST-HOST,SUCCESS,C55
36,U51,C56,DST-HOST,SUCCESS,C56
37,U52,C57,DST-HOST,SUCCESS,C57
37,U53,C58,DST-HOST,SUCCESS,C58
37,U51,C56,DST-HOST,SUCCESS,C56
37,U54,C59,DST-HOST,SUCCESS,C59
37,U55,C60,DST-HOST,SUCCESS,C60
38,U56,C61,DST-HOST,SUCCESS,C61
38,U52,C57,DST-HOST,SUCCESS,C57
38,U54,C59,DST-HOST,SUCCESS,C59
39,U57,C62,DST-HOST,SUCCESS,C62
39,U6,C7,DST-HOST,SUCCESS,C7
39,U58,C63,DST-HOST,SUCCESS,C63
39,U59,C64,DST-HOST,SUCCESS,C64
39,U12,C53,DST-HOST,SUCCESS,C53
39,U12,C54,DST-HOST,SUCCESS,C54
40,U58,C63,DST-HOST,SUCCESS,C63
40,U60,C65,DST-HOST,SUCCESS,C65
41,U61,C66,DST-HOST,SUCCESS,C66
41,U62,C67,DST-HOST,SUCCESS,C67
42,U62,C67,DST-HOST,SUCCESS,C67
42,U37,C39,DST-HOST,SUCCESS,C39
42,U63,C68,DST-HOST,SUCCESS,C68
42,U64,C69,DST-HOST,SUCCESS,C69
42,U9,C10,DST-HOST,SUCCESS,C10
43,U37,C39,DST-HOST,SUCCESS,C39
43,U12,C13,DST-HOST,SUCCESS,C13
44,U65,C70,DST-HOST,SUCCESS,C70
44,U66,C1,DST-HOST,SUCCESS,C1
44,U67,C49,DST-HOST,SUCCESS,C49
45,U65,C70,DST-HOST,SUCCESS,C70
45,U68,C71,DST-HOST,SUCCESS,C71
45,U69,C72,DST-HOST,SUCCESS,C72
45,U70,C73,DST-HOST,SUCCESS,C73
45,U71,C74,DST-HOST,SUCCESS,C74
46,U72,C75,DST-HOST,SUCCESS,C75
46,U73,C76,DST-HOST,SUCCESS,C76
46,U74,C75,DST-HOST,SUCCESS,C75
46,U75,C77,DST-HOST,SUCCESS,C77
46,U68,C71,DST-HOST,SUCCESS,C71
46,U76,C75,DST-HOST,SUCCESS,C75
46,U63,C68,DST-HOST,SUCCESS,C68
46,U77,C78,DST-HOST,SUCCESS,C78
47,U78,C79,DST-HOST,SUCCESS,C79
47,U79,C80,DST-HOST,SUCCESS,C80
47,U57,C62,DST-HOST,SUCCESS,C62
47,U75,C77,DST-HOST,SUCCESS,C77
47,U68,C71,DST-HOST,SUCCESS,C71
47,U80,C81,DST-HOST,SUCCESS,C81
47,U81,C82,DST-HOST,SUCCESS,C82
47,U81,C83,DST-HOST,SUCCESS,C83
47,U82,C84,DST-HOST,SUCCESS,C84
47,U83,C85,DST-HOST,SUCCESS,C85
47,U84,C86,DST-HOST,SUCCESS,C86
47,U84,C87,DST-HOST,SUCCESS,C87
47,U84,C88,DST-HOST,SUCCESS,C88
47,U84,C89,DST-HOST,SUCCESS,C89
47,U84,C90,DST-HOST,SUCCESS,C90
47,U84,C91,DST-HOST,SUCCESS,C91
47,U84,C92,DST-HOST,SUCCESS,C92
47,U85,C93,DST-HOST,SUCCESS,C93
47,U12,C94,DST-HOST,SUCCESS,C94
47,U12,C13,DST-HOST,SUCCESS,C13
47,U86,C95,DST-HOST,SUCCESS,C95
48,U78,C79,DST-HOST,SUCCESS,C79
48,U87,C96,DST-HOST,SUCCESS,C96
48,U88,C97,DST-HOST,SUCCESS,C97
48,U82,C84,DST-HOST,SUCCESS,C84
48,U89,C98,DST-HOST,SUCCESS,C98
48,U90,C99,DST-HOST,SUCCESS,C99
48,U91,C100,DST-HOST,SUCCESS,C100
48,U92,C101,DST-HOST,SUCCESS,C101
48,U48,C102,DST-HOST,SUCCESS,C102
48,U48,C103,DST-HOST,SUCCESS,C103
48,U48,C51,DST-HOST,SUCCESS,C51
48,U48,C104,DST-HOST,SUCCESS,C104
48,U84,C105,DST-HOST,SUCCESS,C105
48,U93,C106,DST-HOST,SUCCESS,C106
48,U93,C107,DST-HOST,SUCCESS,C107
48,U85,C108,DST-HOST,SUCCESS,C108
48,U85,C109,DST-HOST,SUCCESS,C109
48,U94,C110,DST-HOST,SUCCESS,C110
48,U95,C111,DST-HOST,SUCCESS,C111
48,U95,C112,DST-HOST,SUCCESS,C112
48,U96,C113,DST-HOST,SUCCESS,C113
48,U97,C114,DST-HOST,SUCCESS,C114
48,U97,C115,DST-HOST,SUCCESS,C115
48,U97,C116,DST-HOST,SUCCESS,C116
48,U66,C1,DST-HOST,SUCCESS,C1
48,U66,C117,DST-HOST,SUCCESS,C117
48,U66,C118,DST-HOST,SUCCESS,C118
49,U98,C119,DST-HOST,SUCCESS,C119
49,U99,C120,DST-HOST,SUCCESS,C120
49,U100,C121,DST-HOST,SUCCESS,C121
49,U90,C99,DST-HOST,SUCCESS,C99
49,U70,C122,DST-HOST,SUCCESS,C122
49,U101,C123,DST-HOST,SUCCESS,C123
49,U92,C101,DST-HOST,SUCCESS,C101
49,U48,C104,DST-HOST,SUCCESS,C104
49,U13,C32,DST-HOST,SUCCESS,C32
49,U102,C124,DST-HOST,SUCCESS,C124
49,U103,C125,DST-HOST,SUCCESS,C125
49,U104,C126,DST-HOST,SUCCESS,C126
49,U104,C127,DST-HOST,SUCCESS,C127
49,U95,C111,DST-HOST,SUCCESS,C111
49,U95,C112,DST-HOST,SUCCESS,C112
49,U95,C128,DST-HOST,SUCCESS,C128
49,U95,C101,DST-HOST,SUCCESS,C101
49,U105,C129,DST-HOST,SUCCESS,C129
49,U105,C130,DST-HOST,SUCCESS,C130
49,U105,C131,DST-HOST,SUCCESS,C131
49,U97,C132,DST-HOST,SUCCESS,C132
49,U97,C114,DST-HOST,SUCCESS,C114
49,U97,C115,DST-HOST,SUCCESS,C115
49,U97,C85,DST-HOST,SUCCESS,C85
49,U97,C116,DST-HOST,SUCCESS,C116
49,U66,C133,DST-HOST,SUCCESS,C133
50,U78,C134,DST-HOST,SUCCESS,C134
50,U78,C79,DST-HOST,SUCCESS,C79
50,U78,C135,DST-HOST,SUCCESS,C135
50,U106,C136,DST-HOST,SUCCESS,C136
50,U99,C120,DST-HOST,SUCCESS,C120
50,U99,C137,DST-HOST,SUCCESS,C137
50,U90,C99,DST-HOST,SUCCESS,C99
50,U70,C122,DST-HOST,SUCCESS,C122
50,U107,C138,DST-HOST,SUCCESS,C138
50,U108,C139,DST-HOST,SUCCESS,C139
50,U101,C123,DST-HOST,SUCCESS,C123
50,U48,C140,DST-HOST,SUCCESS,C140
50,U102,C124,DST-HOST,SUCCESS,C124
50,U103,C125,DST-HOST,SUCCESS,C125
50,U95,C111,DST-HOST,SUCCESS,C111
50,U95,C128,DST-HOST,SUCCESS,C128
50,U95,C101,DST-HOST,SUCCESS,C101
50,U105,C113,DST-HOST,SUCCESS,C113
50,U105,C129,DST-HOST,SUCCESS,C129
50,U105,C130,DST-HOST,SUCCESS,C130
50,U105,C131,DST-HOST,SUCCESS,C131
50,U97,C114,DST-HOST,SUCCESS,C114
50,U97,C115,DST-HOST,SUCCESS,C115
50,U97,C116,DST-HOST,SUCCESS,C116
51,U106,C136,DST-HOST,SUCCESS,C136
51,U109,C141,DST-HOST,SUCCESS,C141
51,U110,C142,DST-HOST,SUCCESS,C142
51,U16,C17,DST-HOST,SUCCESS,C17
51,U111,C143,DST-HOST,SUCCESS,C143
51,U92,C101,DST-HOST,SUCCESS,C101
51,U85,C109,DST-HOST,SUCCESS,C109
51,U85,C127,DST-HOST,SUCCESS,C127
51,U12,C94,DST-HOST,SUCCESS,C94
51,U12,C13,DST-HOST,SUCCESS,C13
51,U95,C112,DST-HOST,SUCCESS,C112
51,U97,C132,DST-HOST,SUCCESS,C132
51,U97,C85,DST-HOST,SUCCESS,C85
51,U112,C144,DST-HOST,SUCCESS,C144
51,U112,C82,DST-HOST,SUCCESS,C82
51,U112,C145,DST-HOST,SUCCESS,C145
51,U112,C146,DST-HOST,SUCCESS,C146
51,U66,C117,DST-HOST,SUCCESS,C117
52,U113,C147,DST-HOST,SUCCESS,C147
52,U113,C148,DST-HOST,SUCCESS,C148
52,U16,C148,DST-HOST,SUCCESS,C148
52,U16,C17,DST-HOST,SUCCESS,C17
52,U21,C22,DST-HOST,SUCCESS,C22
52,U114,C149,DST-HOST,SUCCESS,C149
52,U114,C148,DST-HOST,SUCCESS,C148
52,U111,C143,DST-HOST,SUCCESS,C143
52,U111,C150,DST-HOST,SUCCESS,C150
52,U89,C98,DST-HOST,SUCCESS,C98
52,U89,C151,DST-HOST,SUCCESS,C151
52,U115,C148,DST-HOST,SUCCESS,C148
52,U115,C152,DST-HOST,SUCCESS,C152
52,U92,C153,DST-HOST,SUCCESS,C153
52,U92,C154,DST-HOST,SUCCESS,C154
52,U116,C155,DST-HOST,SUCCESS,C155
52,U117,C156,DST-HOST,SUCCESS,C156
52,U60,C157,DST-HOST,SUCCESS,C157
52,U12,C158,DST-HOST,SUCCESS,C158
52,U12,C159,DST-HOST,SUCCESS,C159
52,U95,C112,DST-HOST,SUCCESS,C112
52,U105,C130,DST-HOST,SUCCESS,C130
52,U105,C160,DST-HOST,SUCCESS,C160
52,U105,C131,DST-HOST,SUCCESS,C131
52,U97,C132,DST-HOST,SUCCESS,C132
52,U97,C161,DST-HOST,SUCCESS,C161
52,U118,C162,DST-HOST,SUCCESS,C162
52,U112,C145,DST-HOST,SUCCESS,C145
53,U119,C163,DST-HOST,SUCCESS,C163
53,U110,C142,DST-HOST,SUCCESS,C142
53,U16,C17,DST-HOST,SUCCESS,C17
53,U120,C164,DST-HOST,SUCCESS,C164
53,U121,C165,DST-HOST,SUCCESS,C165
53,U122,C166,DST-HOST,SUCCESS,C166
53,U21,C22,DST-HOST,SUCCESS,C22
53,U123,C167,DST-HOST,SUCCESS,C167
53,U124,C168,DST-HOST,SUCCESS,C168
53,U125,C169,DST-HOST,SUCCESS,C169
53,U125,C170,DST-HOST,SUCCESS,C170
53,U126,C102,DST-HOST,SUCCESS,C102
53,U92,C153,DST-HOST,SUCCESS,C153
53,U48,C51,DST-HOST,SUCCESS,C51
53,U48,C171,DST-HOST,SUCCESS,C171
